"ASX code","Company name","Listing date","GICs industry group","Market Cap"
"14D","1414 DEGREES LIMITED","2018-09-12","Capital Goods",15148909
"1AD","ADALTA LIMITED","2016-08-22","Pharmaceuticals, Biotechnology & Life Sciences",14452498
"1AE","AURORA ENERGY METALS LIMITED","2022-05-18","Materials",21391649
"1AG","ALTERRA LIMITED","2008-05-16","Food, Beverage & Tobacco",8358631
"1CG","ONE CLICK GROUP LIMITED","2017-04-28","Capital Goods",8230840
"1MC","MORELLA CORPORATION LIMITED","2001-01-08","Materials",91478707
"1ST","1ST GROUP LIMITED","2015-06-09","Health Care Equipment & Services","N/A"
"29M","29METALS LIMITED","2021-07-02","Materials",943457954
"2BE","TUBI LIMITED","2019-06-14","Energy","N/A"
"360","LIFE360 INC.","2019-05-10","Software & Services",1119515706
"3DA","AMAERO INTERNATIONAL LTD","2019-12-06","Capital Goods",54009828
"3DP","POINTERRA LIMITED","2008-03-27","Software & Services",152506396
"3MF","3D METALFORGE LIMITED","2021-03-02","Commercial & Professional Services","N/A"
"3PL","3P LEARNING LIMITED..","2014-07-09","Consumer Services",358047000
"4DS","4DS MEMORY LIMITED","2010-12-09","Semiconductors & Semiconductor Equipment",59190618
"4DX","4DMEDICAL LIMITED","2020-08-07","Health Care Equipment & Services",116324276
"5EA","5E ADVANCED MATERIALS INC.","2022-03-01","Materials",647365287
"5GG","PENTANET LIMITED","2021-01-29","Telecommunication Services",51766875
"88E","88 ENERGY LIMITED","2000-01-20","Energy",200923393
"8CO","8COMMON LIMITED","2014-08-27","Software & Services",20497276
"8IH","8I HOLDINGS LTD","2014-12-17","Diversified Financials",17153088
"8VI","8VI HOLDINGS LIMITED","2015-12-16","Consumer Services",42381422
"92E","92 ENERGY LIMITED","2021-04-15","Energy",39855237
"A11","ATLANTIC LITHIUM LIMITED","2022-09-26","Materials",417961745
"A1G","AFRICAN GOLD LTD.","2019-02-14","Materials",13812993
"A1M","AIC MINES LIMITED","1993-11-04","Materials",189867708
"A2B","A2B AUSTRALIA LIMITED","1999-12-14","Transportation",135778365
"A2M","THE A2 MILK COMPANY LIMITED","2015-03-31","Food, Beverage & Tobacco",4898463546
"A3D","AURORA LABS LIMITED","2016-08-16","Capital Goods",6813849
"A4N","ALPHA HPA LIMITED","2007-10-22","Materials",514331762
"A8G","AUSTRALASIAN METALS LIMITED","2021-05-13","Materials",10163496
"AAC","AUSTRALIAN AGRICULTURAL COMPANY LIMITED.","2001-08-10","Food, Beverage & Tobacco",1063883308
"AAJ","ARUMA RESOURCES LIMITED","2010-07-23","Materials",13027805
"AAP","AUSTRALIAN AGRICULTURAL PROJECTS LIMITED","2004-01-07","Food, Beverage & Tobacco",6101990
"AAR","ASTRAL RESOURCES NL","1986-11-13","Materials",52567388
"AAU","ANTILLES GOLD LIMITED","1993-11-25","Materials",19492425
"ABA","AUSWIDE BANK LTD","1994-09-19","Banks",267857309
"ABB","AUSSIE BROADBAND LIMITED","2020-10-16","Telecommunication Services",729632397
"ABC","ADBRI LIMITED","1962-05-31","Materials",1204097839
"ABE","AUSTRALIAN BOND EXCHANGE HOLDINGS LIMITED","2021-12-06","Diversified Financials",47666303
"ABP","ABACUS PROPERTY GROUP","2002-11-14","Real Estate",2475431643
"ABV","ADVANCED BRAKING TECHNOLOGY LTD","2002-05-28","Automobiles & Components",14028504
"ABX","ABX GROUP LIMITED","2009-12-24","Materials",29066806
"ABY","ADORE BEAUTY GROUP LIMITED","2020-10-23","Retailing",104478192
"AC8","AUSCANN GROUP HOLDINGS LTD","1989-05-03","Pharmaceuticals, Biotechnology & Life Sciences","N/A"
"ACB","A-CAP ENERGY LIMITED","2006-05-19","Energy",101059677
"ACE","ACUSENSUS LIMITED.","2023-01-12","Software & Services",90162832
"ACF","ACROW FORMWORK AND CONSTRUCTION SERVICES LIMITED","2008-06-27","Capital Goods",180598140
"ACL","AUSTRALIAN CLINICAL LABS LIMITED","2021-05-14","Health Care Equipment & Services",619630426
"ACP","AUDALIA RESOURCES LIMITED","2011-07-06","Materials",7613498
"ACQ","ACORN CAPITAL INVESTMENT FUND LIMITED","2014-05-01","Not Applic",94738602
"ACR","ACRUX LIMITED","2004-09-29","Pharmaceuticals, Biotechnology & Life Sciences",20333900
"ACS","ACCENT RESOURCES NL","2005-08-26","Materials",11650682
"ACU","ACUMENTIS GROUP LIMITED","2003-12-05","Real Estate",15778570
"ACW","ACTINOGEN MEDICAL LIMITED","2007-10-16","Pharmaceuticals, Biotechnology & Life Sciences",164368946
"AD1","AD1 HOLDINGS LIMITED","2016-06-23","Media & Entertainment",7007313
"AD8","AUDINATE GROUP LIMITED","2017-06-30","Technology Hardware & Equipment",624197987
"ADA","ADACEL TECHNOLOGIES LIMITED","1998-02-27","Software & Services",61077460
"ADC","ACDC METALS LTD","2023-01-17","Materials",13014923
"ADD","ADAVALE RESOURCES LIMITED","1992-02-06","Energy",12243496
"ADG","ADELONG GOLD LIMITED","2007-03-21","Materials",7473512
"ADH","ADAIRS LIMITED","2015-06-17","Retailing",483730800
"ADN","ANDROMEDA METALS LIMITED","1996-09-17","Materials",174160472
"ADO","ANTEOTECH LTD","2000-04-07","Pharmaceuticals, Biotechnology & Life Sciences",103399204
"ADR","ADHERIUM LIMITED","2015-08-26","Health Care Equipment & Services",19985753
"ADS","ADSLOT LTD.","1987-12-17","Software & Services",17634787
